"";"names.descriptions.";"descriptions";"complexity";"meaning"
"kplus";"kplus";sk;1;"sk-X-X-X-X-X"
"kminus";"kminus";c("su", "ns", "npi", "fci", "nq");1;"X-su-ns-npi-fci-nq"
"specplus";"specplus";c("sk", "su");1;"sk-su-X-X-X-X"
"specminus";"specminus";c("ns", "npi", "fci", "nq");1;"X-X-ns-npi-fci-nq"
"seplus";"seplus";c("npi", "fci", "nq");1;"X-X-X-npi-fci-nq"
"seminus";"seminus";c("sk", "su", "ns");1;"sk-su-ns-X-X-X"
"negplus";"negplus";nq;1;"X-X-X-X-X-nq"
"negminus";"negminus";c("sk", "su", "ns", "npi", "fci");1;"sk-su-ns-npi-fci-X"
"union kplus kminus";"union kplus kminus";c("sk", "su", "ns", "npi", "fci", "nq");2;"sk-su-ns-npi-fci-nq"
"union kplus specminus";"union kplus specminus";c("sk", "ns", "npi", "fci", "nq");2;"sk-X-ns-npi-fci-nq"
"union kplus seplus";"union kplus seplus";c("sk", "npi", "fci", "nq");2;"sk-X-X-npi-fci-nq"
"union kplus negplus";"union kplus negplus";c("sk", "nq");2;"sk-X-X-X-X-nq"
"intersect kminus specplus";"intersect kminus specplus";su;2;"X-su-X-X-X-X"
"intersect kminus seminus";"intersect kminus seminus";c("su", "ns");2;"X-su-ns-X-X-X"
"intersect kminus negminus";"intersect kminus negminus";c("su", "ns", "npi", "fci");2;"X-su-ns-npi-fci-X"
"union specplus seplus";"union specplus seplus";c("sk", "su", "npi", "fci", "nq");2;"sk-su-X-npi-fci-nq"
"union specplus negplus";"union specplus negplus";c("sk", "su", "nq");2;"sk-su-X-X-X-nq"
"intersect specminus seminus";"intersect specminus seminus";ns;2;"X-X-ns-X-X-X"
"intersect specminus negminus";"intersect specminus negminus";c("ns", "npi", "fci");2;"X-X-ns-npi-fci-X"
"intersect seplus rplus";"intersect seplus rplus";c("npi", "nq");2;"X-X-X-npi-X-nq"
"intersect seplus rminus";"intersect seplus rminus";fci;2;"X-X-X-X-fci-X"
"intersect seplus negminus";"intersect seplus negminus";c("npi", "fci");2;"X-X-X-npi-fci-X"
"union seminus negplus";"union seminus negplus";c("sk", "su", "ns", "nq");2;"sk-su-ns-X-X-nq"
"union kplus intersect specminus seminus";"union kplus intersect specminus seminus";c("sk", "ns");3;"sk-X-ns-X-X-X"
"union kplus intersect specminus negminus";"union kplus intersect specminus negminus";c("sk", "ns", "npi", "fci");3;"sk-X-ns-npi-fci-X"
"union kplus intersect seplus rplus";"union kplus intersect seplus rplus";c("sk", "npi", "nq");3;"sk-X-X-npi-X-nq"
"union kplus intersect seplus rminus";"union kplus intersect seplus rminus";c("sk", "fci");3;"sk-X-X-X-fci-X"
"union kplus intersect seplus negminus";"union kplus intersect seplus negminus";c("sk", "npi", "fci");3;"sk-X-X-npi-fci-X"
"intersect kminus union specplus seplus";"intersect kminus union specplus seplus";c("su", "npi", "fci", "nq");3;"X-su-X-npi-fci-nq"
"intersect kminus union specplus negplus";"intersect kminus union specplus negplus";c("su", "nq");3;"X-su-X-X-X-nq"
"intersect kminus union seminus negplus";"intersect kminus union seminus negplus";c("su", "ns", "nq");3;"X-su-ns-X-X-nq"
"union specplus intersect seplus rplus";"union specplus intersect seplus rplus";c("sk", "su", "npi", "nq");3;"sk-su-X-npi-X-nq"
"union specplus intersect seplus rminus";"union specplus intersect seplus rminus";c("sk", "su", "fci");3;"sk-su-X-X-fci-X"
"union specplus intersect seplus negminus";"union specplus intersect seplus negminus";c("sk", "su", "npi", "fci");3;"sk-su-X-npi-fci-X"
"intersect specminus union seminus negplus";"intersect specminus union seminus negplus";c("ns", "nq");3;"X-X-ns-X-X-nq"
"intersect seplus intersect rplus negminus";"intersect seplus intersect rplus negminus";npi;3;"X-X-X-npi-X-X"
"intersect seplus union rminus negplus";"intersect seplus union rminus negplus";c("fci", "nq");3;"X-X-X-X-fci-nq"
"union seminus intersect seplus rplus";"union seminus intersect seplus rplus";c("sk", "su", "ns", "npi", "nq");3;"sk-su-ns-npi-X-nq"
"union seminus intersect seplus rminus";"union seminus intersect seplus rminus";c("sk", "su", "ns", "fci");3;"sk-su-ns-X-fci-X"
"union kplus intersect specminus union seminus negplus";"union kplus intersect specminus union seminus negplus";c("sk", "ns", "nq");4;"sk-X-ns-X-X-nq"
"union kplus intersect seplus intersect rplus negminus";"union kplus intersect seplus intersect rplus negminus";c("sk", "npi");4;"sk-X-X-npi-X-X"
"union kplus intersect seplus union rminus negplus";"union kplus intersect seplus union rminus negplus";c("sk", "fci", "nq");4;"sk-X-X-X-fci-nq"
"intersect kminus union specplus intersect seplus rplus";"intersect kminus union specplus intersect seplus rplus";c("su", "npi", "nq");4;"X-su-X-npi-X-nq"
"intersect kminus union specplus intersect seplus rminus";"intersect kminus union specplus intersect seplus rminus";c("su", "fci");4;"X-su-X-X-fci-X"
"intersect kminus union specplus intersect seplus negminus";"intersect kminus union specplus intersect seplus negminus";c("su", "npi", "fci");4;"X-su-X-npi-fci-X"
"intersect kminus union seminus intersect seplus rplus";"intersect kminus union seminus intersect seplus rplus";c("su", "ns", "npi", "nq");4;"X-su-ns-npi-X-nq"
"intersect kminus union seminus intersect seplus rminus";"intersect kminus union seminus intersect seplus rminus";c("su", "ns", "fci");4;"X-su-ns-X-fci-X"
"union specplus intersect seplus intersect rplus negminus";"union specplus intersect seplus intersect rplus negminus";c("sk", "su", "npi");4;"sk-su-X-npi-X-X"
"union specplus intersect seplus union rminus negplus";"union specplus intersect seplus union rminus negplus";c("sk", "su", "fci", "nq");4;"sk-su-X-X-fci-nq"
"intersect specminus union seminus intersect seplus rplus";"intersect specminus union seminus intersect seplus rplus";c("ns", "npi", "nq");4;"X-X-ns-npi-X-nq"
"intersect specminus union seminus intersect seplus rminus";"intersect specminus union seminus intersect seplus rminus";c("ns", "fci");4;"X-X-ns-X-fci-X"
"union seminus intersect seplus intersect rplus negminus";"union seminus intersect seplus intersect rplus negminus";c("sk", "su", "ns", "npi");4;"sk-su-ns-npi-X-X"
"union seminus intersect seplus union rminus negplus";"union seminus intersect seplus union rminus negplus";c("sk", "su", "ns", "fci", "nq");4;"sk-su-ns-X-fci-nq"
"union kplus intersect specminus union seminus intersect seplus rplus";"union kplus intersect specminus union seminus intersect seplus rplus";c("sk", "ns", "npi", "nq");5;"sk-X-ns-npi-X-nq"
"union kplus intersect specminus union seminus intersect seplus rminus";"union kplus intersect specminus union seminus intersect seplus rminus";c("sk", "ns", "fci");5;"sk-X-ns-X-fci-X"
"intersect kminus union specplus intersect seplus intersect rplus negminus";"intersect kminus union specplus intersect seplus intersect rplus negminus";c("su", "npi");5;"X-su-X-npi-X-X"
"intersect kminus union specplus intersect seplus union rminus negplus";"intersect kminus union specplus intersect seplus union rminus negplus";c("su", "fci", "nq");5;"X-su-X-X-fci-nq"
"intersect kminus union seminus intersect seplus intersect rplus negminus";"intersect kminus union seminus intersect seplus intersect rplus negminus";c("su", "ns", "npi");5;"X-su-ns-npi-X-X"
"intersect kminus union seminus intersect seplus union rminus negplus";"intersect kminus union seminus intersect seplus union rminus negplus";c("su", "ns", "fci", "nq");5;"X-su-ns-X-fci-nq"
"intersect specminus union seminus intersect seplus intersect rplus negminus";"intersect specminus union seminus intersect seplus intersect rplus negminus";c("ns", "npi");5;"X-X-ns-npi-X-X"
"intersect specminus union seminus intersect seplus union rminus negplus";"intersect specminus union seminus intersect seplus union rminus negplus";c("ns", "fci", "nq");5;"X-X-ns-X-fci-nq"
"union kplus intersect specminus union seminus intersect seplus intersect rplus negminus";"union kplus intersect specminus union seminus intersect seplus intersect rplus negminus";c("sk", "ns", "npi");6;"sk-X-ns-npi-X-X"
"union kplus intersect specminus union seminus intersect seplus union rminus negplus";"union kplus intersect specminus union seminus intersect seplus union rminus negplus";c("sk", "ns", "fci", "nq");6;"sk-X-ns-X-fci-nq"
